Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, P , p_misid)
1	Round_1_Replicate_3	-27829.68	55675.36	1189675.56	890.63	0.105,0.1473,7.2108,0.8747,5.3989,0.0831,1.0938,0.9898
1	Round_1_Replicate_4	-4452.58	8921.16	4590.08	569.81	1.4711,0.9608,0.2452,2.0125,1.0332,1.0708,1.2149,0.1161
1	Round_1_Replicate_4	-28388.68	56793.36	662491.58	239.91	8.7341,2.5185,0.2469,1.2007,1.3972,0.0776,0.0724,0.9898
1	Round_1_Replicate_3	-9895.22	19806.44	40063.24	121.28	13.4328,0.1491,0.5493,9.9438,10.9877,0.1368,4.5765,0.19
1	Round_1_Replicate_5	-11309.1	22634.2	34484.0	735.1	1.3052,0.1953,3.3349,0.7688,3.0295,0.3503,0.1747,0.0875
1	Round_1_Replicate_4	-37098.04	74212.08	5610278.66	190.75	12.2693,0.2671,0.365,0.2755,0.1242,13.1012,0.1783,0.9898
1	Round_1_Replicate_5	-9405.96	18827.92	622719707.15	962.67	2.4579,0.4227,7.0739,1.8432,12.6501,6.3188,12.1884,0.3212
1	Round_1_Replicate_4	-11160.03	22336.06	56738.34	3131.33	0.0737,0.1669,0.6353,0.8052,1.5018,9.8116,14.671,0.1952
1	Round_1_Replicate_3	-25873.92	51763.84	848463.93	2707.34	0.0868,0.089,0.0688,2.6974,7.9829,0.8887,0.7574,0.9898
1	Round_1_Replicate_4	-12504.91	25025.82	65676.65	432.18	1.7452,0.1037,0.6825,10.0225,7.2631,0.0805,5.0824,0.4866
