Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
SC_sym_i	Round_3_Replicate_10	-4319.24	8654.48	4778.4	796.71	0.2911,2.447,0.9497,1.2236,0.1408,0.0871,0.9898,0.1398
SC_sym_i	Round_3_Replicate_11	-4027.29	8070.58	185165.37	503.8	1.0583,2.7289,2.32,3.2086,0.6933,0.0653,0.9894,0.1682
SC_sym_i	Round_3_Replicate_12	-5927.56	11871.12	11679.12	668.29	0.1415,3.2204,5.2448,0.471,0.3553,0.131,0.7553,0.1243
SC_sym_i	Round_3_Replicate_13	-3541.49	7098.98	3727.6	601.72	0.8102,3.4164,0.8568,4.4234,0.2496,0.0602,0.185,0.0254
SC_sym_i	Round_3_Replicate_14	-4790.45	9596.9	5445.79	567.71	1.1262,2.5346,0.3613,1.2852,0.3961,0.0636,0.4144,0.1894
SC_sym_i	Round_3_Replicate_15	-4031.41	8078.82	3210.45	896.07	0.2961,1.9533,1.9881,4.2282,0.1203,0.0412,0.5584,0.1894
SC_sym_i	Round_3_Replicate_16	-3626.27	7268.54	4241.66	943.88	0.3237,1.9791,0.4332,2.3949,0.0757,0.0202,0.2051,0.0229
SC_sym_i	Round_3_Replicate_17	-7005.38	14026.76	21543.4	943.47	0.2335,1.2042,0.3037,2.1081,0.4949,0.046,0.1062,0.0152
SC_sym_i	Round_3_Replicate_18	-6791.32	13598.64	11581.22	1645.6	0.0946,0.4701,2.0032,4.7204,0.3357,0.0497,0.1895,0.1864
SC_sym_i	Round_3_Replicate_19	-3632.19	7280.38	3044.39	494.89	0.7455,4.2849,0.7254,4.9072,0.5027,0.0296,0.9244,0.0681
SC_sym_i	Round_3_Replicate_20	-5064.0	10144.0	6549.99	517.91	0.3542,3.5635,0.4324,1.3387,0.7396,0.1076,0.9898,0.203
SC_sym_i	Round_4_Replicate_1	-3063.73	6143.46	3555.58	563.67	0.4376,2.4461,6.9805,2.9344,1.122,0.0669,0.5952,0.0366
SC_sym_i	Round_4_Replicate_2	-3234.76	6485.52	8801.17	582.89	1.0167,2.4636,7.9901,2.1495,0.4152,0.0541,0.8132,0.0288
SC_sym_i	Round_4_Replicate_3	-3165.28	6346.56	2918.66	604.39	0.899,1.6361,5.9606,2.4461,0.886,0.0718,0.4383,0.0173
SC_sym_i	Round_4_Replicate_4	-4046.62	8109.24	176946.33	627.27	1.0663,1.1091,4.3414,6.2566,1.2758,0.0724,0.2654,0.0174
SC_sym_i	Round_4_Replicate_5	-3074.49	6164.98	1595.35	694.62	0.4984,2.0007,8.9507,3.2254,0.4991,0.0294,0.2897,0.0393
SC_sym_i	Round_4_Replicate_6	-3303.6	6623.2	5301.57	535.08	0.8998,2.0162,7.7882,3.3406,1.1422,0.0487,0.4288,0.0336
SC_sym_i	Round_4_Replicate_7	-3100.63	6217.26	5577.3	846.02	0.4248,1.1975,5.2486,4.0308,0.6257,0.0571,0.4261,0.0118
SC_sym_i	Round_4_Replicate_8	-2879.56	5775.12	2142.31	526.49	0.5688,2.5399,6.9734,1.8259,1.1471,0.1249,0.7456,0.0234
SC_sym_i	Round_4_Replicate_9	-3601.83	7219.66	898372.23	707.12	0.9602,1.4013,9.5878,5.1703,0.4199,0.0399,0.6677,0.0256
SC_sym_i	Round_4_Replicate_10	-3297.6	6611.2	7152.48	847.76	0.5568,1.0495,8.2441,4.5275,0.593,0.0452,0.3878,0.0119
SC_sym_i	Round_4_Replicate_11	-3799.19	7614.38	2727.82	779.23	0.5022,1.0306,8.2033,1.9882,1.4484,0.0467,0.3086,0.047
SC_sym_i	Round_4_Replicate_12	-3751.96	7519.92	8253.87	641.45	1.2929,1.1693,9.5811,3.58,0.6926,0.0495,0.7423,0.0137
SC_sym_i	Round_4_Replicate_13	-3300.88	6617.76	4021.7	589.66	0.9614,1.7658,5.8362,2.8402,0.8015,0.0503,0.2873,0.0262
SC_sym_i	Round_4_Replicate_14	-3703.14	7422.28	3779.15	709.19	0.386,1.5408,5.5099,3.709,1.1529,0.0438,0.3059,0.0499
SC_sym_i	Round_4_Replicate_15	-3299.85	6615.7	3706.52	473.18	0.9646,2.5049,11.1862,4.0347,1.2742,0.0304,0.3506,0.0124
SC_sym_i	Round_4_Replicate_16	-2998.5	6013.0	31912.63	889.69	0.369,1.2075,3.9944,4.3308,0.4652,0.0805,0.4959,0.0189
SC_sym_i	Round_4_Replicate_17	-3125.96	6267.92	2060.35	472.56	0.8429,2.8578,8.2042,2.6232,1.1064,0.0448,0.5094,0.0356
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
SC_sym_i	Round_1_Replicate_1	-5988.71	11993.42	7046.84	828.95	0.4535,0.8308,4.2685,0.9191,10.4043,5.1067,0.5892,0.3771
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
SC_sym_i	Round_1_Replicate_1	-9861.46	19738.92	27940.07	220.75	15.5379,0.5087,1.2628,0.7123,3.5288,4.861,0.1354,0.0031
SC_sym_i	Round_1_Replicate_2	-3124.84	6265.68	2595.31	163.73	1.5505,8.105,0.7184,2.6173,6.6813,0.1797,0.4165,0.0218
SC_sym_i	Round_1_Replicate_3	-4028.68	8073.36	5994.94	311.87	1.4512,3.749,0.1605,11.2027,2.546,0.0258,0.9399,0.0431
SC_sym_i	Round_1_Replicate_4	-5229.06	10474.12	6363.43	472.17	1.258,1.0557,0.5039,0.1594,0.0961,9.4006,0.0046,0.0575
SC_sym_i	Round_1_Replicate_5	-8033.18	16082.36	1983329998959.17	334.94	6.5433,12.4214,7.673,0.0248,0.174,0.1661,0.8892,0.0274
SC_sym_i	Round_1_Replicate_6	-4955.25	9926.5	163325.05	670.7	0.7741,0.8784,4.9474,2.8989,2.1182,0.383,0.9972,0.1612
SC_sym_i	Round_1_Replicate_7	-15703.01	31422.02	103610.77	413.09	0.7467,0.0889,2.2423,1.5288,14.0824,0.494,0.0635,0.0181
SC_sym_i	Round_1_Replicate_8	-2880.01	5776.02	1421.38	237.93	1.8533,4.8789,0.3996,3.7092,3.0918,0.9006,0.1805,0.0013
SC_sym_i	Round_1_Replicate_9	-3047.32	6110.64	3161.39	269.75	1.7925,3.8794,0.9631,2.7058,3.3832,0.2282,0.5563,0.0007
SC_sym_i	Round_1_Replicate_10	-4553.12	9122.24	4537.63	3428.49	0.1493,0.1677,0.2539,12.472,4.6757,1.5173,0.9989,0.108
SC_sym_i	Round_2_Replicate_1	-5297.72	10611.44	10369.16	455.05	0.6756,19.7059,0.4019,13.5281,0.2415,0.0216,0.1151,0.009
SC_sym_i	Round_2_Replicate_2	-5559.23	11134.46	7999.73	280.77	1.0314,1.4649,1.4263,19.8,12.2636,0.5296,0.1804,0.0017
SC_sym_i	Round_2_Replicate_3	-3158.73	6333.46	51132.11	183.09	1.893,4.9144,0.5972,19.8,8.4897,2.4256,0.1043,0.0009
SC_sym_i	Round_2_Replicate_4	-4501.73	9019.46	4324.99	493.58	1.9605,1.3875,0.7885,0.9928,1.0095,0.1544,0.1026,0.0004
SC_sym_i	Round_2_Replicate_5	-5888.13	11792.26	13659.96	569.81	0.579,2.1646,0.2083,5.4278,0.9252,0.1886,0.0156,0.0015
SC_sym_i	Round_2_Replicate_6	-3443.63	6903.26	6329477.1	551.46	0.3279,3.3816,2.7202,8.5189,0.7431,0.5637,0.0498,0.0033
SC_sym_i	Round_2_Replicate_7	-6746.3	13508.6	971671937073304.8	231.94	4.5175,4.3312,2.8459,19.8,1.8368,0.2336,0.0608,0.0072
SC_sym_i	Round_2_Replicate_8	-3441.57	6899.14	2075.04	488.51	0.572,1.9068,0.2639,1.6052,2.7973,0.4069,0.6641,0.0055
SC_sym_i	Round_2_Replicate_9	-7844.73	15705.46	12217.56	105.66	6.0725,5.3751,0.3493,0.0022,16.9351,1.1414,0.3077,0.4567
SC_sym_i	Round_2_Replicate_10	-2859.39	5734.78	1291.61	166.5	2.085,7.1744,0.1465,0.9753,6.288,0.5348,0.7545,0.0143
SC_sym_i	Round_3_Replicate_1	-2793.19	5602.38	1438.0	169.3	1.8866,7.0226,0.3895,1.8883,6.5691,0.8435,0.3149,0.0085
SC_sym_i	Round_3_Replicate_2	-3071.9	6159.8	1356.21	171.46	2.2602,6.3767,0.0569,0.3917,5.6979,1.4244,0.9353,0.0512
SC_sym_i	Round_3_Replicate_3	-2805.72	5627.44	1155.06	112.58	2.8871,10.45,0.2007,0.6446,10.3001,1.2958,0.6127,0.0139
SC_sym_i	Round_3_Replicate_4	-2861.08	5738.16	1447.6	181.29	2.0575,6.4192,0.1171,0.6227,5.4369,0.6966,0.9644,0.0051
SC_sym_i	Round_3_Replicate_5	-4422.56	8861.12	17958.53	153.66	1.006,19.7103,0.1935,1.395,3.8783,1.6615,0.9826,0.0419
SC_sym_i	Round_3_Replicate_6	-2892.01	5800.02	1438.41	181.64	1.2649,6.8415,0.3149,1.0489,6.9245,0.433,0.8757,0.0096
SC_sym_i	Round_3_Replicate_7	-3000.6	6017.2	1537.44	282.89	1.2229,4.5215,0.3868,1.5085,2.7629,0.3873,0.4231,0.0079
SC_sym_i	Round_3_Replicate_8	-3115.88	6247.76	1700.58	323.62	1.1992,3.6276,0.3627,1.2143,2.3539,0.4423,0.4031,0.0012
SC_sym_i	Round_3_Replicate_9	-2795.0	5606.0	1796.61	373.59	1.0086,3.2003,0.8134,4.1088,1.9238,0.4581,0.2285,0.0033
SC_sym_i	Round_3_Replicate_10	-4695.98	9407.96	5766.87	281.81	0.8845,3.3093,0.3181,0.5488,6.1724,0.2849,0.9977,0.0145
SC_sym_i	Round_4_Replicate_1	-3626.39	7268.78	2943.42	183.91	1.6266,4.1484,0.6499,3.5005,12.3274,0.7442,0.354,0.0003
SC_sym_i	Round_4_Replicate_2	-2859.74	5735.48	1408.21	184.26	1.7296,6.4991,0.684,0.3493,5.6953,0.7244,0.2673,0.008
SC_sym_i	Round_4_Replicate_3	-2839.18	5694.36	1416.73	250.15	1.4908,4.6456,0.2072,1.3117,3.742,0.534,0.8337,0.0051
SC_sym_i	Round_4_Replicate_4	-2814.19	5644.38	2872.7	95.53	3.3141,12.5486,0.2436,2.9064,12.5344,1.6029,0.1949,0.0039
SC_sym_i	Round_4_Replicate_5	-2800.69	5617.38	1155.93	246.36	1.3441,4.8514,0.3447,1.2334,3.8839,0.6939,0.6493,0.0058
SC_sym_i	Round_4_Replicate_6	-2805.58	5627.16	1569.16	143.45	2.1249,8.3502,0.3952,1.4027,8.2109,0.7133,0.3857,0.0162
SC_sym_i	Round_4_Replicate_7	-2797.87	5611.74	2574.64	152.24	2.1282,7.9678,0.3787,3.5554,7.2039,1.0114,0.2272,0.0068
SC_sym_i	Round_4_Replicate_8	-2790.57	5597.14	1483.78	172.59	1.9142,6.8418,0.3865,1.6756,6.311,0.8562,0.354,0.0066
SC_sym_i	Round_4_Replicate_9	-2810.3	5636.6	2154.03	125.15	2.6752,9.4797,0.3169,0.8022,8.9123,0.9842,0.4669,0.0086
SC_sym_i	Round_4_Replicate_10	-2811.79	5639.58	1595.95	179.42	2.0714,6.2606,0.3663,2.5328,5.7587,1.165,0.231,0.0021
