Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
SC_sym_i	Round_1_Replicate_1	-12041.14	24098.28	2.300833679923091e+18	190.96	9.583,1.8319,3.578,12.6083,0.1983,14.1773,0.973,0.0128
SC_sym_i	Round_1_Replicate_2	-4317.05	8650.1	6331.73	520.87	0.4608,4.37,0.3331,4.2074,0.3357,0.206,0.1543,0.0081
SC_sym_i	Round_1_Replicate_3	-12749.15	25514.3	64558.03	1257.75	0.327,0.2065,0.1314,0.2582,12.8338,9.8223,0.9953,0.0537
SC_sym_i	Round_1_Replicate_4	-5665.39	11346.78	7957.0	581.74	0.43,0.9578,0.7477,1.0781,5.672,1.5863,0.0058,0.094
SC_sym_i	Round_1_Replicate_5	-5316.44	10648.88	6885.74	533.51	3.8698,1.1662,0.1313,1.9862,0.0995,0.3408,0.8539,0.0447
SC_sym_i	Round_1_Replicate_6	-19081.12	38178.24	267647.48	575.31	0.061,8.8543,3.1149,3.754,1.2188,1.5484,0.4997,0.9936
SC_sym_i	Round_1_Replicate_7	-3460.79	6937.58	2116.26	170.15	1.9853,5.6007,0.3781,0.682,8.8079,0.7465,0.0073,0.0169
SC_sym_i	Round_1_Replicate_8	-6676.31	13368.62	13836.51	263.29	6.0651,1.1515,13.8095,0.3992,0.2935,11.1618,0.2786,0.0711
SC_sym_i	Round_1_Replicate_9	-4436.91	8889.82	4841.21	1087.78	0.5267,0.6297,3.614,0.4203,0.0485,0.1984,0.8514,0.009
SC_sym_i	Round_1_Replicate_10	-4750.97	9517.94	3953.11	466.49	0.675,2.0052,5.468,0.5666,0.2254,10.2366,0.5938,0.2827
SC_sym_i	Round_2_Replicate_1	-4579.54	9175.08	6730.22	73.12	0.8266,19.7992,0.3429,0.5146,19.799,0.6927,0.0104,0.0114
SC_sym_i	Round_2_Replicate_2	-5687.9	11391.8	105482.13	306.5	2.8042,1.0953,1.3452,1.6645,5.7217,1.645,0.0046,0.0053
SC_sym_i	Round_2_Replicate_3	-7207.15	14430.3	12936.73	505.7	0.9536,0.749,0.3735,0.2914,4.7399,0.8905,0.007,0.008
SC_sym_i	Round_2_Replicate_4	-6871.54	13759.08	12959.53	128.79	6.1843,1.8314,0.4519,0.0013,19.6579,1.6482,0.0018,0.0009
SC_sym_i	Round_2_Replicate_5	-8295.16	16606.32	251342.25	63.16	4.6361,19.8,0.0968,1.7133,18.7124,0.3201,0.0011,0.0138
SC_sym_i	Round_2_Replicate_6	-2839.34	5694.68	1748.45	165.53	1.7329,7.8828,1.1435,0.2353,6.2873,0.5951,0.2442,0.0054
SC_sym_i	Round_2_Replicate_7	-3092.32	6200.64	2693.71	133.21	2.5574,8.8651,0.4164,0.2869,8.1925,0.7198,0.0068,0.0271
