
Round_1_Replicate_1
56      , -12517      , array([ 9.58404    ,  1.85103    ,  3.58726    ,  12.6106    ,  0.19862    ,  14.1776    ,  0.972956   ,  0.0964867  ])
57      , -12516.9    , array([ 9.58404    ,  1.85103    ,  3.58726    ,  12.6096    ,  0.19962    ,  14.1776    ,  0.972956   ,  0.0964867  ])
58      , -12516.9    , array([ 9.58404    ,  1.85103    ,  3.58726    ,  12.6096    ,  0.19862    ,  14.1786    ,  0.972956   ,  0.0964867  ])
59      , -12533.6    , array([ 9.58404    ,  1.85103    ,  3.58726    ,  12.6096    ,  0.19862    ,  14.1776    ,  0.973956   ,  0.0964867  ])
60      , -12522.7    , array([ 9.58404    ,  1.85103    ,  3.58726    ,  12.6096    ,  0.19862    ,  14.1776    ,  0.972956   ,  0.0974867  ])
61      , -12041.1    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
62      , -12041.1    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
63      , -12041.2    , array([ 9.58404    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
64      , -12042.4    , array([ 9.58304    ,  1.83291    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
65      , -12041.6    , array([ 9.58304    ,  1.83191    ,  3.57899    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
66      , -12041.3    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6093    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
67      , -12041.2    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.199306   ,  14.1773    ,  0.973014   ,  0.0127701  ])
68      , -12041.2    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1783    ,  0.973014   ,  0.0127701  ])
69      , -12057.9    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.974014   ,  0.0127701  ])
70      , -12045.9    , array([ 9.58304    ,  1.83191    ,  3.57799    ,  12.6083    ,  0.198306   ,  14.1773    ,  0.973014   ,  0.0137701  ])
71      , -10917      , array([ 9.55625    ,  1.27095    ,  3.32398    ,  12.5727    ,  0.19107    ,  14.1701    ,  0.970314   ,  0.00222721 ])
