Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
SC_sym_i	Round_1_Replicate_1	-21569.92	43155.84	1099036.02	1232.67	0.4128,0.2704,5.3848,13.4877,1.7859,0.3313,0.9896,0.9893
SC_sym_i	Round_1_Replicate_2	-7023.7	14063.4	11516.47	109.83	2.069,9.4154,0.0906,0.9008,7.5128,15.744,0.0806,0.4255
SC_sym_i	Round_1_Replicate_3	-6241.5	12499.0	3858892.67	242.06	8.9043,6.4322,1.0257,0.2496,0.552,0.2689,0.9896,0.0938
SC_sym_i	Round_1_Replicate_4	-6848.52	13713.04	2018368.43	564.53	5.9486,1.5581,0.1768,0.4507,0.1485,0.0783,0.9896,0.2305
SC_sym_i	Round_1_Replicate_5	-19257.77	38531.54	225071.36	799.63	0.1111,1.7838,1.934,0.2885,6.303,3.2439,0.0691,0.9891
SC_sym_i	Round_1_Replicate_6	-18670.89	37357.78	232067.28	724.06	11.0978,0.1626,0.1348,16.3419,0.3775,0.1198,0.9896,0.8648
SC_sym_i	Round_1_Replicate_7	-25757.25	51530.5	85053770.71	347.57	3.6309,3.3912,0.8819,0.8748,0.1212,0.7089,0.99,0.9892
SC_sym_i	Round_1_Replicate_8	-6708.08	13432.16	259816304518581.9	568.72	0.8682,5.6788,4.6701,5.7961,0.1357,0.1344,0.3295,0.0594
SC_sym_i	Round_1_Replicate_9	-27566.85	55149.7	1099634.04	407.57	4.5819,0.5066,1.2058,2.0218,0.694,6.0088,0.9898,0.9898
SC_sym_i	Round_1_Replicate_10	-6024.26	12064.52	1111154.0	161.01	8.2233,4.9275,7.0265,0.4432,2.2153,1.1178,0.9897,0.2615
SC_sym_i	Round_2_Replicate_1	-10811.31	21638.62	30108.7	297.08	3.2689,1.3104,7.4428,0.0828,0.482,4.5327,0.9904,0.3905
SC_sym_i	Round_2_Replicate_2	-4060.96	8137.92	5196.53	221.01	2.2912,5.9597,19.2393,0.1062,0.2777,3.7672,0.3929,0.0444
SC_sym_i	Round_2_Replicate_3	-8058.24	16132.48	8.096971313352594e+17	254.45	4.1472,4.1022,4.7213,2.7324,0.3468,1.4283,0.9897,0.0457
SC_sym_i	Round_2_Replicate_4	-31107.4	62230.8	1549560.2	335.1	11.2741,0.705,2.5886,0.8057,0.428,0.5741,0.9897,0.9892
SC_sym_i	Round_2_Replicate_5	-5247.93	10511.86	61573.36	310.0	2.4747,2.0957,9.0224,1.0128,2.9848,0.7362,0.9899,0.2517
SC_sym_i	Round_2_Replicate_6	-8865.42	17746.84	17608.72	136.21	13.2773,1.5862,19.5354,0.1547,1.3086,6.2863,0.9898,0.0418
SC_sym_i	Round_2_Replicate_7	-25782.94	51581.88	6335927091.77	271.91	2.7524,13.5967,1.0794,3.017,0.4514,0.2337,0.2482,0.9891
SC_sym_i	Round_2_Replicate_8	-6317.66	12651.32	55038241450.44	127.72	4.5168,4.9416,3.6069,1.4602,13.0325,2.3502,0.9896,0.0378
SC_sym_i	Round_2_Replicate_9	-19684.48	39384.96	200068.13	113.8	3.2704,5.924,11.4856,0.1678,19.0833,9.6895,0.9907,0.9895
SC_sym_i	Round_2_Replicate_10	-28862.79	57741.58	39905658.96	234.9	6.5488,1.8324,1.2001,0.8877,1.1715,2.3282,0.9899,0.9892
SC_sym_i	Round_2_Replicate_11	-8395.9	16807.8	22521.79	281.49	12.3773,0.8043,12.7068,0.0796,0.3234,7.5707,0.167,0.1348
SC_sym_i	Round_2_Replicate_12	-7386.93	14789.86	15812.62	230.95	6.1814,1.5012,1.6662,0.5973,3.0521,1.2377,0.9904,0.2629
SC_sym_i	Round_2_Replicate_13	-5032.83	10081.66	11920.5	272.34	1.1697,12.9174,6.3436,0.391,0.9034,0.1493,0.3209,0.0444
SC_sym_i	Round_2_Replicate_14	-7852.74	15721.48	16839.81	420.84	18.4403,0.7723,19.5248,0.3603,0.4068,0.3244,0.2921,0.1896
SC_sym_i	Round_2_Replicate_15	-9520.57	19057.14	3.846869672986774e+20	123.79	4.0782,10.378,2.7307,3.0517,1.5978,7.6003,0.2676,0.1172
SC_sym_i	Round_2_Replicate_16	-7924.17	15864.34	1704771.08	105.69	12.3773,13.6943,3.372,0.1532,0.4623,2.7179,0.9898,0.4043
SC_sym_i	Round_2_Replicate_17	-8642.74	17301.48	11813041.56	141.53	8.8104,2.4145,2.7519,0.7569,6.6211,6.5493,0.9897,0.3951
SC_sym_i	Round_2_Replicate_18	-6872.06	13760.12	252244.41	70.87	18.4403,19.5248,3.658,0.0779,2.0148,3.1543,0.3032,0.0722
SC_sym_i	Round_2_Replicate_19	-29343.71	58703.42	646997.6	77.48	9.4291,18.6472,6.0598,0.1699,6.7551,0.3658,0.2578,0.9892
SC_sym_i	Round_2_Replicate_20	-16669.32	33354.64	72589.43	71.52	11.8193,11.3465,2.718,0.2854,12.52,0.6722,0.9903,0.8876
SC_sym_i	Round_3_Replicate_1	-5099.46	10214.92	6802.04	152.47	6.5521,3.1994,9.2315,0.1007,0.4483,10.1826,0.3844,0.0401
SC_sym_i	Round_3_Replicate_2	-4986.35	9988.7	7420.14	141.17	6.2478,9.7918,18.722,0.0862,0.9532,2.1942,0.9898,0.0753
SC_sym_i	Round_3_Replicate_3	-4277.75	8571.5	5868.31	352.67	0.8546,4.1747,8.7614,0.2599,0.1134,1.8601,0.9894,0.0136
SC_sym_i	Round_3_Replicate_4	-4870.36	9756.72	6738.86	408.1	1.6642,2.5144,7.17,0.0939,0.1389,1.2722,0.9317,0.0159
SC_sym_i	Round_3_Replicate_5	-4564.66	9145.32	7815.99	288.78	0.9299,5.8834,13.5967,0.0587,0.1766,8.1935,0.2358,0.0623
SC_sym_i	Round_3_Replicate_6	-4515.07	9046.14	5805.47	230.02	2.4747,3.3935,6.8853,0.3427,0.3654,7.2794,0.2338,0.0182
SC_sym_i	Round_3_Replicate_7	-6781.39	13578.78	1662082.55	182.08	6.6631,4.7624,17.5544,0.3795,0.1388,2.7868,0.1901,0.0612
SC_sym_i	Round_3_Replicate_8	-5230.53	10477.06	9600.76	181.5	5.507,5.328,10.3135,0.1638,0.3046,2.8656,0.2666,0.0435
SC_sym_i	Round_3_Replicate_9	-5034.33	10084.66	449498.54	166.12	1.8219,15.6547,12.4972,0.3875,0.9555,8.3729,0.2022,0.0336
SC_sym_i	Round_3_Replicate_10	-4080.58	8177.16	4240.2	117.5	3.7969,9.5395,6.9912,0.0557,0.1419,12.3696,0.4108,0.0842
SC_sym_i	Round_3_Replicate_11	-4286.89	8589.78	10521.46	157.04	1.7455,18.4403,19.5248,0.2502,0.8089,6.5114,0.3454,0.0819
SC_sym_i	Round_3_Replicate_12	-5703.47	11422.94	14825.81	272.34	3.6638,2.9276,10.378,0.0379,0.6163,1.8101,0.1794,0.0273
SC_sym_i	Round_3_Replicate_13	-4525.26	9066.52	5881.43	123.36	3.9122,7.3652,6.175,0.0649,0.2988,15.6221,0.2337,0.0125
SC_sym_i	Round_3_Replicate_14	-6515.95	13047.9	12980.06	382.63	0.9917,1.7591,18.722,0.1331,0.5642,6.8102,0.9898,0.0129
SC_sym_i	Round_3_Replicate_15	-5578.83	11173.66	9385.45	210.83	3.2848,2.9808,15.6547,0.355,0.4009,8.4462,0.2328,0.0738
SC_sym_i	Round_3_Replicate_16	-3970.15	7956.3	4115.99	235.91	1.9257,4.3635,16.4078,0.1022,0.2724,6.041,0.4216,0.0326
SC_sym_i	Round_3_Replicate_17	-4550.96	9117.92	8881.95	347.82	1.1508,4.9333,6.9968,0.1591,0.2086,2.0685,0.1467,0.0789
SC_sym_i	Round_3_Replicate_18	-4832.63	9681.26	14764.52	122.31	5.3154,18.4403,19.5248,0.096,0.073,3.1417,0.5857,0.027
SC_sym_i	Round_3_Replicate_19	-5105.31	10226.62	20184.94	305.98	1.0388,12.3773,9.1657,0.0904,0.1045,1.7542,0.1554,0.0315
SC_sym_i	Round_3_Replicate_20	-5766.35	11548.7	27845.42	219.7	1.9068,12.6555,15.9201,0.0578,1.0414,2.1351,0.1353,0.0202
SC_sym_i	Round_4_Replicate_1	-3476.69	6969.38	3020.22	167.44	3.7041,7.6663,17.5544,0.1298,0.2511,3.7661,0.7443,0.021
SC_sym_i	Round_4_Replicate_2	-3216.94	6449.88	2125.21	212.25	1.3958,6.4395,13.1006,0.1863,0.3892,7.3035,0.5905,0.0191
SC_sym_i	Round_4_Replicate_3	-3639.62	7295.24	2739.72	160.16	3.1908,5.5416,18.3322,0.1273,0.2379,9.7279,0.5661,0.0401
SC_sym_i	Round_4_Replicate_4	-3801.3	7618.6	5252.85	323.38	0.9736,4.5487,11.0057,0.0766,0.4961,3.1568,0.4741,0.0116
SC_sym_i	Round_4_Replicate_5	-3747.03	7510.06	3340.21	218.99	3.031,4.3243,9.6387,0.152,0.156,4.1417,0.4569,0.0215
SC_sym_i	Round_4_Replicate_6	-5066.54	10149.08	7216.03	186.84	2.9045,3.8116,16.4078,0.1043,0.5151,12.2171,0.252,0.0319
