Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, m12i, m21i, T1, T2, P , p_misid)
1	Round_1_Replicate_3	-7542.86	15109.72	11337.25	3896.1	9.5764,0.0887,4.9663,0.1995,0.8065,0.2785,9.8731,2.8618,0.5211,2.0064,0.99,0.5317
1	Round_1_Replicate_3	-9566.34	19156.68	19214.07	620.96	0.636,3.1743,0.6232,0.6102,0.2263,8.7537,0.3862,1.1259,0.569,0.0964,0.1945,0.6181
1	Round_1_Replicate_3	-5184.04	10392.08	8550.45	650.39	0.6543,0.3909,1.4787,1.8415,0.4917,0.8515,0.3156,1.0275,0.0659,2.6705,0.9899,0.1053
1	Round_1_Replicate_2	-16525.81	33075.62	102385.68	196.42	0.2602,14.6779,0.1024,0.1713,0.1892,0.4487,3.0628,1.6044,8.2599,0.0637,0.9899,0.077
1	Round_1_Replicate_3	-5656.51	11337.02	182111.47	378.9	2.1238,4.355,0.325,2.5547,0.1276,3.0896,0.6978,6.4631,0.7817,0.1365,0.1326,0.1851
1	Round_1_Replicate_3	-19794.67	39613.34	177294.48	3512.52	0.1287,0.1181,7.1587,0.256,16.1247,0.1338,3.846,8.952,0.1413,4.0641,0.9899,0.9899
1	Round_1_Replicate_4	-28765.63	57555.26	664335.53	915.01	0.1846,0.3757,0.3945,0.8792,1.7712,0.1721,5.6687,5.6283,1.5298,0.1209,0.0678,0.9899
1	Round_1_Replicate_3	-19819.16	39662.32	204270.29	994.22	0.2957,0.1288,5.8851,2.7827,0.1973,8.1719,2.773,3.9534,0.1417,4.8318,0.8244,0.9899
1	Round_1_Replicate_4	-32437.29	64898.58	2755764.23	1060.21	0.1084,1.9815,0.2734,0.0952,0.2207,16.498,2.8165,1.5261,0.1077,0.6781,0.9899,0.9899
1	Round_1_Replicate_4	-29717.33	59458.66	1599191.44	569.87	9.5401,4.1198,6.6707,0.1503,1.2941,1.5777,0.3075,7.2601,0.4509,0.0801,0.9899,0.9899
1	Round_1_Replicate_4	-4966.26	9956.52	5986.84	342.89	5.6931,0.2504,0.5105,3.8302,2.1091,0.1973,1.4512,0.0682,1.6426,4.5007,0.9899,0.2014
1	Round_1_Replicate_4	-21720.78	43465.56	282236.08	2365.77	0.0868,0.3682,0.0687,0.1962,0.2395,1.0836,0.1091,8.014,1.4198,11.4701,0.9899,0.9899
1	Round_1_Replicate_4	-22325.17	44674.34	313061.97	3112.46	0.1804,0.1776,0.2032,0.1936,1.1862,0.4862,0.105,4.3463,4.5657,1.2295,0.9899,0.9899
1	Round_1_Replicate_4	-25199.33	50422.66	315680.31	237.76	1.6881,1.102,14.1332,11.6574,0.4027,0.502,8.7328,0.0706,0.167,1.155,0.6652,0.9899
1	Round_1_Replicate_4	-18951.54	37927.08	158751.0	1039.57	0.6605,0.1418,2.3684,1.9105,0.9005,0.0843,4.4615,4.7599,1.8338,3.8106,0.9899,0.9899
1	Round_1_Replicate_5	-21086.2	42196.4	305484.38	1050.58	0.368,0.0688,0.4192,1.4018,4.0752,4.143,15.7222,3.1383,0.7745,0.2104,0.1507,0.9899
1	Round_1_Replicate_3	-31536.65	63097.3	1432187.34	1286.37	3.6467,0.1507,0.1929,0.0956,0.1306,16.1508,0.121,0.3362,3.3594,0.2275,0.8972,0.9899
1	Round_1_Replicate_4	-22390.34	44804.68	249846.52	639.43	0.1598,5.537,3.1961,1.6315,0.0672,0.969,1.8433,0.5964,0.1587,0.0642,0.2977,0.9899
1	Round_1_Replicate_5	-27445.62	54915.24	1356820.27	223.68	0.9172,2.7878,5.3128,0.7111,0.4413,0.463,3.4095,0.5224,15.7331,0.6146,0.1397,0.9899
1	Round_1_Replicate_5	-5488.73	11001.46	7058.5	408.01	6.1813,0.8565,1.6022,1.8857,0.5046,1.1861,0.5329,0.1126,3.5288,1.3146,0.9898,0.1313
1	Round_1_Replicate_5	-24222.46	48468.92	931809740.76	535.44	6.5234,0.7002,0.0622,2.1188,10.9668,0.1611,3.2914,3.126,0.5334,3.7478,0.0911,0.9899
1	Round_1_Replicate_5	-30727.64	61479.28	48488758572636.51	258.38	8.7586,8.8896,2.7186,0.5534,8.5501,1.0543,1.2142,11.8844,0.4754,1.5565,0.9899,0.9899
1	Round_1_Replicate_6	-10382.74	20789.48	435448.26	957.28	9.8556,2.1079,0.0751,0.1638,3.1409,6.2265,13.8984,10.2565,2.2464,0.5107,0.99,0.2504
1	Round_1_Replicate_5	-26067.49	52158.98	9812253.42	821.98	0.2367,1.8171,4.5906,0.3219,12.3077,1.3085,1.8493,8.2812,1.0912,3.5848,0.5724,0.9899
1	Round_1_Replicate_4	-37680.31	75384.62	4682445.69	1808.4	7.9599,0.2211,1.1818,0.1097,0.1032,0.0692,1.4652,0.0695,0.8846,0.391,0.0681,0.9899
1	Round_1_Replicate_5	-9439.77	18903.54	37352.05	1217.85	0.1895,5.8355,0.139,0.2191,0.9934,0.3399,14.1156,7.2476,1.3097,2.6248,0.99,0.203
1	Round_1_Replicate_6	-27928.67	55881.34	711510.79	1019.24	1.2512,0.2676,0.0994,0.5982,0.8048,0.0965,2.1764,0.7496,2.0379,0.1743,0.9899,0.9899
1	Round_1_Replicate_6	-11573.91	23171.82	35772.39	337.6	1.6476,0.6699,0.1088,2.5802,4.705,0.0869,2.2337,1.1209,8.606,0.5516,0.5216,0.8045
1	Round_1_Replicate_5	-22732.07	45488.14	646633.38	232.08	15.1254,0.0873,0.1695,3.9457,0.2512,9.7769,4.798,2.7687,14.7981,0.135,0.9899,0.9899
1	Round_1_Replicate_6	-25294.62	50613.24	1008329.79	656.05	0.7957,0.9825,3.9446,0.3345,13.0878,4.0286,0.2618,0.1933,4.7925,0.178,0.0673,0.99
1	Round_1_Replicate_7	-21027.55	42079.1	236129.1	1095.38	0.0632,4.1283,0.4689,0.1201,1.3602,1.0246,0.5136,0.779,0.0964,0.089,0.9899,0.8844
1	Round_1_Replicate_5	-5255.17	10534.34	13364.72	1133.64	0.4895,0.3366,10.0678,0.3342,7.285,13.2245,0.838,9.9887,1.9603,0.1362,0.9898,0.1201
1	Round_1_Replicate_7	-7454.3	14932.6	1666010412283.61	732.77	0.4294,1.0215,0.1075,1.0045,3.4538,9.4479,6.3006,8.411,0.5398,0.7641,0.2938,0.3022
1	Round_1_Replicate_6	-30000.58	60025.16	2278700.59	276.98	0.6029,11.1632,6.9819,0.1078,2.1539,14.4612,1.6346,6.3559,1.9882,9.3263,0.9899,0.9899
