Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T, p_misid)
1	Round_1_Replicate_6	-26990.9	53993.8	2827671448.07	280.18	8.2373,6.1288,0.2387,0.4591,0.6138,0.9898
1	Round_1_Replicate_6	-7641.77	15295.54	6956283.02	1033.11	0.2569,1.3646,6.6831,5.3032,0.1307,0.5731
1	Round_1_Replicate_5	-20912.33	41836.66	270293.99	926.73	0.1531,6.6421,0.149,0.2167,0.059,0.9896
1	Round_1_Replicate_6	-5123.74	10259.48	5566.34	286.82	0.3479,4.0638,3.7419,0.6045,13.5127,0.3403
1	Round_1_Replicate_4	-26592.8	53197.6	1.3989449223582768e+20	218.77	4.633,4.0627,0.1269,7.3991,13.7755,0.9898
1	Round_1_Replicate_7	-6855.9	13723.8	9883.37	475.64	0.3226,3.5755,1.134,1.3669,3.9963,0.4949
1	Round_1_Replicate_7	-6848.38	13708.76	2307016152903.69	771.24	0.4115,10.7016,0.0643,8.7028,0.5175,0.1071
1	Round_1_Replicate_7	-16859.42	33730.84	289425818712.26	166.63	1.1932,9.677,6.0755,0.2597,5.2857,0.873
1	Round_1_Replicate_7	-6493.28	12998.56	10135.44	670.16	1.1681,0.7018,0.1574,1.3075,2.9734,0.2619
1	Round_1_Replicate_6	-22545.67	45103.34	1.7789474046818956e+23	597.24	4.668,1.5797,10.8237,9.4168,0.2277,0.8912
