Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, mi, T1, T2, P)
1	Round_1_Replicate_1	-27271.82	54551.64	2321409.82	615.73	0.1469,5.7238,0.2775,0.9899
1	Round_1_Replicate_12	-11963.13	23934.26	153313.77	540.4	0.2752,9.6794,0.2593,0.5909
1	Round_1_Replicate_13	-6490.15	12988.3	29555.72	453.76	1.6971,3.5038,0.556,0.1091
1	Round_1_Replicate_11	-15923.34	31854.68	214274.74	617.97	0.5129,3.0956,0.394,0.868
1	Round_1_Replicate_2	-16495.01	32998.02	314890.14	1199.87	0.7919,0.2253,0.3848,0.4807
1	Round_1_Replicate_13	-35940.08	71888.16	51859110.51	266.13	9.0873,0.4313,2.2064,0.8106
1	Round_1_Replicate_12	-13333.12	26674.24	198119.83	920.22	1.2702,0.3391,0.4809,0.1532
1	Round_1_Replicate_3	-44756.6	89521.2	-659945600403427.6	353.98	0.623,0.6454,12.5054,0.6912
1	Round_1_Replicate_14	-59288.85	118585.7	1794240385549.55	1238.31	0.6112,0.1039,1.5759,0.4147
1	Round_1_Replicate_13	-31622.76	63253.52	2218594.97	1116.57	1.472,0.1218,0.1356,0.9899
1	Round_1_Replicate_4	-53944.54	107897.08	5653147178.71	953.89	0.2621,0.6679,2.2111,0.9883
1	Round_1_Replicate_15	-30967.55	61943.1	2.4971148088995543e+23	510.39	10.8224,16.1771,0.1328,0.989
1	Round_1_Replicate_12	-88756.75	177521.5	-3.680066052824273e+29	505.33	1.0279,0.1016,7.7023,0.9894
1	Round_1_Replicate_14	-10701.13	21410.26	2796506.92	504.57	3.5461,3.2851,0.2667,0.6508
1	Round_1_Replicate_5	-28063.66	56135.32	2745006.13	523.01	3.0452,0.4503,1.2159,0.892
1	Round_2_Replicate_1	-3767.33	7542.66	62875.31	1008.26	0.475,1.3285,0.0713,0.0114
1	Round_1_Replicate_8	-74705.77	149419.54	-7.553565365119133e+28	272.04	0.1126,4.0506,7.3005,0.9894
1	Round_1_Replicate_13	-29392.35	58792.7	1775121.55	1020.88	4.9189,0.1599,0.063,0.9897
1	Round_1_Replicate_15	-47944.27	95896.54	56433667.01	521.35	8.1667,0.1036,0.4991,0.9899
1	Round_1_Replicate_6	-7884.57	15777.14	17331.49	1052.21	1.9116,0.238,0.0828,0.0658
1	Round_2_Replicate_2	-4733.87	9475.74	7193.91	1533.45	0.054,0.1318,0.0098,0.0697
1	Round_1_Replicate_14	-8043.06	16094.12	18632.17	887.52	1.9147,0.5005,0.157,0.2684
1	Round_1_Replicate_9	-4895.5	9799.0	20185.44	813.62	0.5493,3.1349,0.1079,0.1877
1	Round_2_Replicate_1	-5944.3	11896.6	123172449.46	1063.39	0.4351,1.3561,0.0398,0.2841
1	Round_2_Replicate_3	-3754.65	7517.3	16150.94	1262.28	0.0596,0.9121,0.0139,0.0081
1	Round_1_Replicate_7	-72765.79	145539.58	25074051057820.52	242.82	0.1675,8.0246,2.9891,0.9885
1	Round_1_Replicate_15	-9542.45	19092.9	44361.49	605.84	3.4843,0.7133,0.3978,0.1623
1	Round_2_Replicate_2	-3768.74	7545.48	28483.54	1066.99	0.1553,2.9278,0.0349,0.0226
1	Round_1_Replicate_14	-70674.71	141357.42	-3.1140286048880675e+30	137.71	9.3072,0.108,14.6264,0.0813
