Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1,nu2,T,m12,m21,m12i,m21i,P,p_misid)
1	Round_1_Replicate_3	-25125.98	50269.96	763369.52	744.5	1.622,0.2227,3.1115,0.1098,2.1999,0.1141,6.2432,0.9898,0.9898
1	Round_1_Replicate_4	-28243.26	56504.52	1308438.32	901.81	13.2008,0.1841,0.078,0.616,1.3998,0.2599,7.5565,0.6452,0.9898
1	Round_1_Replicate_4	-5147.17	10312.34	5395.94	1995.76	0.1396,0.3685,0.553,8.8086,0.359,0.1526,0.2447,0.2027,0.1334
1	Round_1_Replicate_3	-9272.43	18562.86	26151.27	3010.45	0.0896,0.2124,2.8714,2.6971,0.0653,0.1206,0.1017,0.12,0.2197
1	Round_1_Replicate_4	-31002.57	62023.14	1427876.98	1088.78	0.834,0.1739,1.5714,4.6169,2.7229,0.1186,0.3994,0.9898,0.9898
1	Round_1_Replicate_4	-29595.8	59209.6	6.680637161617089e+20	614.05	8.0113,4.6438,0.1099,0.1288,4.2716,0.8495,2.065,0.9898,0.9898
1	Round_1_Replicate_4	-33638.44	67294.88	8.183886787455882e+26	600.82	11.1283,13.6763,0.0964,10.0358,0.786,1.1253,0.1422,0.1471,0.9898
1	Round_1_Replicate_4	-28399.24	56816.48	796697.74	3399.64	0.1884,0.1439,14.354,0.1426,0.4709,3.2535,0.1978,0.9898,0.9898
1	Round_1_Replicate_4	-7857.62	15733.24	33428.36	262.97	10.5079,0.7187,4.4391,6.1275,7.8184,0.9339,1.1507,0.6236,0.0969
1	Round_1_Replicate_5	-29733.34	59484.68	1081314.3	2904.26	0.069,0.1695,0.6897,6.5514,0.1892,0.9227,0.0982,0.9898,0.9898
1	Round_1_Replicate_4	-24383.2	48784.4	516950.3	973.26	1.6676,0.4037,0.1064,0.3547,9.4765,0.8026,0.1772,0.2923,0.9898
1	Round_1_Replicate_5	-28230.71	56479.42	846697.28	1356.23	0.151,0.4351,3.2515,0.2508,0.0981,0.5209,3.6639,0.1667,0.9898
1	Round_1_Replicate_5	-25978.45	51974.9	12831550.03	1616.58	0.8102,0.2767,1.5624,3.0228,14.6946,8.6051,2.3933,0.9898,0.9898
1	Round_1_Replicate_5	-28790.31	57598.62	3.3814908362711936e+17	570.68	16.5722,3.638,0.1311,8.9846,6.385,0.0713,0.2619,0.9898,0.9898
1	Round_1_Replicate_2	-10200.13	20418.26	53990.79	661.88	0.1035,2.9196,14.7516,2.3934,0.0828,0.3436,1.2416,0.9898,0.3765
1	Round_1_Replicate_4	-23064.08	46146.16	314005.68	290.67	4.6217,0.0912,7.9164,0.1579,0.2454,0.0922,0.1152,0.9405,0.1352
1	Round_1_Replicate_6	-21409.67	42837.34	334393.19	899.6	0.1038,15.0846,0.0624,0.541,1.6107,10.9091,0.6211,0.0859,0.99
1	Round_1_Replicate_5	-14108.26	28234.52	46770.4	902.75	0.2898,1.2441,0.8263,4.7112,1.7556,0.2199,3.1728,0.1331,0.9093
1	Round_1_Replicate_5	-34091.93	68201.86	2373322.79	266.19	4.9258,0.5764,6.3698,7.5589,12.4484,0.0997,0.1415,0.9898,0.9898
1	Round_1_Replicate_6	-22002.23	44022.46	285162.37	774.48	0.9914,0.6657,2.7128,2.6281,2.1036,0.0769,1.6822,0.9897,0.9897
1	Round_1_Replicate_6	-21257.46	42532.92	214857.58	811.64	0.1979,13.9384,0.0742,0.1336,1.1247,10.068,0.7074,0.9898,0.9898
1	Round_1_Replicate_6	-26057.32	52132.64	1087900.19	1043.85	0.1218,1.2582,0.9543,0.1694,0.5022,0.0938,1.2761,0.9898,0.9898
1	Round_1_Replicate_3	-3745.32	7508.64	3413.31	983.79	0.4119,1.1375,0.1698,2.9475,1.798,2.585,0.6496,0.5795,0.1144
1	Round_1_Replicate_5	-8229.51	16477.02	24562.86	265.07	0.5473,9.5262,15.3913,0.3363,1.1493,0.0597,0.674,0.4324,0.403
1	Round_1_Replicate_5	-23905.97	47829.94	480937.22	2604.07	0.0629,0.1505,0.1616,3.9074,10.7775,0.2692,0.1852,0.99,0.99
1	Round_1_Replicate_7	-25225.74	50469.48	648015.56	886.96	2.1567,0.5939,0.1316,11.2871,9.2121,1.1671,0.1212,0.6241,0.9895
1	Round_1_Replicate_5	-8337.93	16693.86	15412.1	5039.55	0.1424,0.0883,8.8395,3.2211,6.4024,6.2406,2.2492,0.9898,0.3465
1	Round_1_Replicate_6	-5681.21	11380.42	7214.37	1589.14	0.1929,0.4412,0.5778,0.5755,0.7065,2.421,1.6215,0.99,0.2612
1	Round_1_Replicate_7	-24353.32	48724.64	391632.71	775.73	0.3302,1.3963,1.0462,2.6255,0.5746,0.4785,0.0656,0.99,0.9895
1	Round_1_Replicate_7	-27104.05	54226.1	2.5464073144240988e+16	499.88	3.2679,2.9081,0.3531,1.148,3.6475,0.0651,7.1555,0.9898,0.9898
1	Round_1_Replicate_4	-27535.96	55089.92	32347159376.11	313.45	3.7962,6.8796,0.732,5.484,11.2486,0.6554,0.9606,0.3814,0.9898
1	Round_1_Replicate_7	-29831.84	59681.68	1335611.29	282.31	7.3247,0.3303,2.4736,0.5895,1.852,0.0777,12.2647,0.9898,0.9898
1	Round_1_Replicate_6	-5038.15	10094.3	4881.11	215.66	0.5178,5.6627,11.2518,5.5808,0.3007,0.1431,0.1116,0.0787,0.312
1	Round_1_Replicate_6	-4295.47	8608.94	118009.54	293.73	1.1233,5.0338,14.2872,0.3741,1.123,1.1293,2.5496,0.1242,0.193
1	Round_1_Replicate_6	-14645.81	29309.62	57860.57	1029.18	0.3205,1.5107,0.0688,0.9888,2.2587,0.3529,0.7458,0.99,0.9143
1	Round_1_Replicate_8	-13507.96	27033.92	56962.65	760.66	14.8702,0.1023,0.1759,0.1019,0.9776,2.1812,3.6501,0.9898,0.3504
1	Round_1_Replicate_6	-26423.02	52864.04	4230045.23	142.9	9.5963,1.7734,14.3402,0.0978,1.7488,4.1298,0.3663,0.1342,0.9898
1	Round_1_Replicate_7	-19161.88	38341.76	304086.51	492.01	2.6702,1.2668,2.0188,0.1246,1.6048,2.4473,0.1587,0.99,0.9225
1	Round_1_Replicate_8	-29329.51	58677.02	503476200347297.94	413.6	7.6063,3.5605,0.394,2.4293,0.3101,13.123,2.9415,0.336,0.9898
1	Round_1_Replicate_8	-23841.41	47700.82	523156.85	1729.17	0.467,0.3141,0.5206,9.5274,0.1195,0.7497,1.499,0.0807,0.9898
1	Round_1_Replicate_8	-8537.06	17092.12	96504284533933.88	566.97	1.0655,2.1235,1.3995,0.0623,15.1158,11.1572,0.1001,0.9898,0.3021
1	Round_1_Replicate_9	-8984.01	17986.02	21498.82	3547.69	0.1373,0.1368,1.0537,0.3866,2.3867,2.7,0.1492,0.9898,0.1374
